"ProbeID","SampleVar","LogVarRatio","DiffLevene","t","P.Value","Adj.P.Value","Bonferroni","chr","pos","strand","Type","UCSC_RefGene_Name","DMR","Enhancer","DHS","DMR_Overlap","DMB_Overlap"
"cg17670477",0.668962040803211,0.131985960229945,0.14421000103593,18.5374845190343,3.72796525061822e-33,7.59090148313506e-28,1.51817656866176e-27,"chr8",24857794,"+","I","","",NA,TRUE,"",""
"cg05668674",0.0799737986504469,0.0951095720392546,0.021896968389305,17.5462651120868,2.07438032699045e-31,2.66314303868584e-26,8.44770644363589e-26,"chr16",57672219,"+","II","GPR56","",NA,NA,"",""
"cg14051111",0.127893381547492,0.0787337266817722,0.0258982195057755,17.4899834776843,2.61579068776065e-31,2.66314303868584e-26,1.06525459968365e-25,"chr7",157345090,"+","II","PTPRN2","",NA,NA,"Yes",""
"cg04759112",0.108565930688502,0.0861535659995078,0.0255536462980907,16.16734158843,6.83415576678396e-29,5.56629685724173e-24,2.7831415944651e-23,"chr16",81663392,"-","II","CMIP","",NA,NA,"",""
"cg17905084",0.216704624976153,0.0787388462566586,0.0402474907580583,15.7125629525909,4.87609611256888e-28,3.30957709496444e-23,1.98574138088255e-22,"chr1",161697281,"+","II","FCRLB","DMR",NA,TRUE,"",""
"cg08175635",0.143241000558848,0.0766257380029687,0.0271689669970534,15.5895444201459,8.33427693342989e-28,4.84865610378132e-23,3.39405093836999e-22,"chr20",62431335,"+","II","ZBTB46","",NA,NA,"",""
"cg06169961",0.105135492359146,0.0691972904816541,0.0193894186751989,15.4977910151005,1.24462369371169e-27,6.33577247063554e-23,5.0686055302715e-22,"chr10",104502638,"+","II","C10orf26","",NA,NA,"",""
"cg16619049",0.548413982571417,0.0655900587601505,0.0858343190765383,14.4605412985658,1.24650476776632e-25,5.64030942366583e-21,5.07626601625157e-20,"chr1",805541,"+","I","FAM41C","",NA,NA,"",""
"cg23383531",0.125312290600546,0.0587909733964614,0.022146048103443,13.5477626502143,7.99979521874537e-24,3.25784460467708e-19,3.25783660488186e-18,"chr12",121688317,"+","II","CAMKK2","",NA,NA,"",""
"cg14075413",0.0742391505846059,0.0562771968358501,0.00869689315913892,13.0415983474311,8.3791686843379e-23,3.1021282128895e-18,3.41233265500977e-17,"chr14",95028105,"+","II","SERPINA4","",NA,NA,"",""
