"chr","start","end","width","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","gene_id","gene_symbol","gene_start","gene_end","gene_width"
"chr19",13734976,13898673,163697,-0.0125584891394614,0.0502339565578454,1006,166670,166691,4,9,4.45819329240051e-05,0.018,0.00158265861880218,0.369,"28974","C19orf53",13885257,13889586,4330
"chr19",13734976,13898673,163697,-0.0125584891394614,0.0502339565578454,1006,166670,166691,4,9,4.45819329240051e-05,0.018,0.00158265861880218,0.369,"81576","CCDC130",13842574,13874106,31533
"chr19",13734976,13898673,163697,-0.0125584891394614,0.0502339565578454,1006,166670,166691,4,9,4.45819329240051e-05,0.018,0.00158265861880218,0.369,"84245","MRI1",13875337,13885096,9760
"chr9",14280660,14308247,27587,0.00817600291196541,0.0327040116478617,580,91929,91932,4,11,0.000423528362778049,0.151,0.0102587981206239,0.913,"4781","NFIB",14081842,14398982,317141
"chr11",55431584,55606463,174879,-0.00329908560516238,0.0395890272619485,697,110053,110064,12,1396,0.00157770507069952,0.337,0.00463899779814787,0.678,"219432","OR4C6",55432643,55433572,930
"chr11",55431584,55606463,174879,-0.00329908560516238,0.0395890272619485,697,110053,110064,12,1396,0.00157770507069952,0.337,0.00463899779814787,0.678,"219436","OR5D14",55563032,55563976,945
"chr11",55431584,55606463,174879,-0.00329908560516238,0.0395890272619485,697,110053,110064,12,1396,0.00157770507069952,0.337,0.00463899779814787,0.678,"219437","OR5L1",55578943,55579878,936
"chr11",55431584,55606463,174879,-0.00329908560516238,0.0395890272619485,697,110053,110064,12,1396,0.00157770507069952,0.337,0.00463899779814787,0.678,"219438","OR5D18",55587106,55588047,942
"chr11",55431584,55606463,174879,-0.00329908560516238,0.0395890272619485,697,110053,110064,12,1396,0.00157770507069952,0.337,0.00463899779814787,0.678,"26338","OR5L2",55594695,55595630,936
"chr11",55431584,55606463,174879,-0.00329908560516238,0.0395890272619485,697,110053,110064,12,1396,0.00157770507069952,0.337,0.00463899779814787,0.678,"390142","OR5D13",55540914,55541858,945
"chr11",55431584,55606463,174879,-0.00329908560516238,0.0395890272619485,697,110053,110064,12,1396,0.00157770507069952,0.337,0.00463899779814787,0.678,"390144","OR5D16",55606228,55607214,987
"chr5",40905255,41160373,255118,-0.0036924924472441,0.036924924472441,355,53887,53896,10,174,0.00216470052086558,0.448,0.00620927254669338,0.783,"133558","MROH2B",40998122,41071444,73323
"chr5",40905255,41160373,255118,-0.0036924924472441,0.036924924472441,355,53887,53896,10,174,0.00216470052086558,0.448,0.00620927254669338,0.783,"729","C6",41142248,41261540,119293
"chr5",40905255,41160373,255118,-0.0036924924472441,0.036924924472441,355,53887,53896,10,174,0.00216470052086558,0.448,0.00620927254669338,0.783,"730","C7",40909599,40983042,73444
"chr16",16874887,17034013,159126,-0.00556895313162312,0.0278447656581156,879,145663,145667,5,48,0.00250154179184696,0.562,0.0195045956542522,0.982,NA,NA,NA,NA,NA
"chr3",118144311,118230228,85917,-0.0072511967894956,0.0217535903684868,195,38834,38836,3,101,0.00307119982365369,0.666,0.0455974102850519,0.999,NA,NA,NA,NA,NA
"chr22",47134514.5,47231861,97346.5,-0.00720563775697601,0.021616913270928,1125,180525,180536,3,41,0.00320246884837437,0.679,0.0464865721694807,0.999,NA,NA,NA,NA,NA
"chr3",35799781,35986831,187050,-0.00599534219660269,0.0239813687864108,166,34636,34639,4,14,0.0037572662358731,0.704,0.0332680290575132,0.998,"10777","ARPP21",35680666,35835988,155323
"chr19",19072780,19271486,198706,0.00378579861960477,0.0302863889568382,1007,167691,167726,8,138,0.00542908872052329,0.754,0.014090367578037,0.955,"100271849","MEF2B",19256376,19281098,24723
"chr19",19072780,19271486,198706,0.00378579861960477,0.0302863889568382,1007,167691,167726,8,138,0.00542908872052329,0.754,0.014090367578037,0.955,"10147","SUGP2",19101697,19144832,43136
"chr19",19072780,19271486,198706,0.00378579861960477,0.0302863889568382,1007,167691,167726,8,138,0.00542908872052329,0.754,0.014090367578037,0.955,"284439","SLC25A42",19174803,19223841,49039
"chr19",19072780,19271486,198706,0.00378579861960477,0.0302863889568382,1007,167691,167726,8,138,0.00542908872052329,0.754,0.014090367578037,0.955,"4207","BORCS8-MEF2B",19256376,19303400,47025
"chr19",19072780,19271486,198706,0.00378579861960477,0.0302863889568382,1007,167691,167726,8,138,0.00542908872052329,0.754,0.014090367578037,0.955,"54929","TMEM161A",19230425,19249310,18886
"chr19",19072780,19271486,198706,0.00378579861960477,0.0302863889568382,1007,167691,167726,8,138,0.00542908872052329,0.754,0.014090367578037,0.955,"93436","ARMC6",19144387,19170310,25924
"chr11",40613630,40808977,195347,0.00402368174259214,0.028165772198145,692,109336,109342,7,36,0.00663527768352277,0.818,0.0187764240831602,0.98,"57689","LRRC4C",40135751,41481186,1345436
"chr10",225064,281489,56425,0.00494286978031774,0.0247143489015887,638,96771,96775,5,549,0.0060259912668947,0.832,0.0300804208534468,0.997,"10771","ZMYND11",180405,300577,120173
"chr16",34979575,34983752.5,4177.5,-0.00791692794875394,0.0158338558975079,890,146984,146985,2,16,0.0052309467964166,0.848,0.110486413655941,1,NA,NA,NA,NA,NA
"chr1",186798107,186957729,159622,-0.0038509932359886,0.0269569526519202,49,14163,14169,7,390,0.00879502465628568,0.89,0.0220110909942019,0.989,"5321","PLA2G4A",186798032,186958113,160082
"chr4",150038122,150087191,49069,-0.00540192728504897,0.0216077091401959,304,50048,50051,4,12,0.00772753504016089,0.904,0.046563352165072,0.999,NA,NA,NA,NA,NA
"chr21",30244689,30455616,210927,-0.00534136326682492,0.0213654530672997,1094,176421,176445,4,9,0.00833186790868629,0.916,0.0481831623946442,0.999,"10069","RWDD2B",30378080,30391685,13606
"chr21",30244689,30455616,210927,-0.00534136326682492,0.0213654530672997,1094,176421,176445,4,9,0.00833186790868629,0.916,0.0481831623946442,0.999,"10600","USP16",30396938,30426807,29870
"chr21",30244689,30455616,210927,-0.00534136326682492,0.0213654530672997,1094,176421,176445,4,9,0.00833186790868629,0.916,0.0481831623946442,0.999,"10694","CCT8",30428648,30446010,17363
"chr21",30244689,30455616,210927,-0.00534136326682492,0.0213654530672997,1094,176421,176445,4,9,0.00833186790868629,0.916,0.0481831623946442,0.999,"26046","LTN1",30300466,30365277,64812
"chr21",30244689,30455616,210927,-0.00534136326682492,0.0213654530672997,1094,176421,176445,4,9,0.00833186790868629,0.916,0.0481831623946442,0.999,"29104","N6AMT1",30244513,30257695,13183
"chr21",30244689,30455616,210927,-0.00534136326682492,0.0213654530672997,1094,176421,176445,4,9,0.00833186790868629,0.916,0.0481831623946442,0.999,"56911","MAP3K7CL",30449812,30548202,98391
"chr3",18386731,18421299,34568,0.00464050961925549,0.0232025480962774,159,33998,34002,5,55,0.00939688075075975,0.917,0.0370872146446696,0.999,"6304","SATB1",18389133,18480265,91133
"chr8",69539427,69702426,162999,-0.00364248853305385,0.025497419731377,538,87452,87458,7,204,0.011863747705888,0.939,0.0268358468461998,0.994,"116328","C8orf34",69242957,69731258,488302
"chr8",33132258,33282384,150126,-0.00399896697569193,0.0239938018541516,524,85762,85767,6,87,0.0127008973352388,0.945,0.0332284006726918,0.998,"84750","FUT10",33228344,33330664,102321
"chr14",36684553,36711182,26629,-0.00352350325552338,0.0246645227886637,822,132060,132066,7,101,0.0139392843609056,0.961,0.0303058072921182,0.997,NA,NA,NA,NA,NA
"chr5",31048607,31162289,113682,-0.0034799284127158,0.0243594988890106,353,53395,53401,7,130,0.0146674559319977,0.965,0.031648218827941,0.998,NA,NA,NA,NA,NA
"chr16",25586856,25730812,143956,-0.00499913837283534,0.0199965534913414,882,146180,146188,4,24,0.0126216405655961,0.975,0.0585014030925001,1,"9951","HS3ST4",25703347,26149009,445663
"chr20",2108416,2113886,5470,0.00678042803261065,0.0135608560652213,1031,172784,172785,2,72,0.0120792270483541,0.975,0.15513026593123,1,"140901","STK35",2082528,2129198,46671
"chr4",122672354,122861198,188844,-0.00425455079880494,0.0212727539940247,289,49148,49173,5,137,0.0165844790477299,0.978,0.0488147397777343,1,"100192379","PP12613",122685740,122687963,2224
"chr4",122672354,122861198,188844,-0.00425455079880494,0.0212727539940247,289,49148,49173,5,137,0.0165844790477299,0.978,0.0488147397777343,1,"132332","TMEM155",122680085,122686340,6256
"chr4",122672354,122861198,188844,-0.00425455079880494,0.0212727539940247,289,49148,49173,5,137,0.0165844790477299,0.978,0.0488147397777343,1,"5393","EXOSC9",122722472,122738176,15705
"chr4",122672354,122861198,188844,-0.00425455079880494,0.0212727539940247,289,49148,49173,5,137,0.0165844790477299,0.978,0.0488147397777343,1,"55212","BBS7",122745484,122791652,46169
"chr4",122672354,122861198,188844,-0.00425455079880494,0.0212727539940247,289,49148,49173,5,137,0.0165844790477299,0.978,0.0488147397777343,1,"7222","TRPC3",122800183,122872909,72727
"chr4",122672354,122861198,188844,-0.00425455079880494,0.0212727539940247,289,49148,49173,5,137,0.0165844790477299,0.978,0.0488147397777343,1,"890","CCNA2",122737599,122745088,7490
"chr2",137250617,137411992,161375,-0.0056782953481969,0.0170348860445907,122,26589,26591,3,27,0.0134909882576142,0.978,0.0910734586415885,1,NA,NA,NA,NA,NA
"chr10",110741628,110946662,205034,-0.00675917292776951,0.013518345855539,677,103594,103595,2,12,0.0123516721940008,0.979,0.156175464580893,1,NA,NA,NA,NA,NA
"chr6",114602991,114707054,104063,-0.0036555551803526,0.0219333310821156,450,69117,69125,6,60,0.0207801342906891,0.98,0.0444457103511818,0.999,"222537","HS3ST5",114376750,114663540,286791
"chr7",104859800,104897205,37405,0.00325717698718607,0.0228002389103025,497,79480,79489,7,195,0.0190959279357822,0.985,0.0391355067851225,0.999,"6733","SRPK2",104755716,105039798,284083
"chr4",106957718,107017800,60082,-0.00356861387241669,0.0214116832345001,282,48588,48593,6,48,0.023430282525616,0.986,0.0478809959603815,0.999,"93627","TBCK",106967233,107237861,270629
"chr16",51529443,51589857,60414,-0.00316870124388621,0.0221809087072034,892,147379,147385,7,173,0.0205968530108904,0.987,0.0429596459203816,0.999,NA,NA,NA,NA,NA
"chr10",84983301,85075612,92311,-0.00558619555709162,0.0167585866712748,670,101689,101691,3,29,0.0149919133327224,0.987,0.0949273190654636,1,NA,NA,NA,NA,NA
"chr20",4954333,4983435,29102,0.00480173228720329,0.0192069291488132,1033,173066,173069,4,31,0.0164532100230092,0.99,0.0656320355862896,1,"9962","SLC23A2",4833002,4990939,157938
"chr6",99848161,99849304,1143,0.00649964057626755,0.0129992811525351,442,68315,68316,2,64,0.0154748842727325,0.99,0.17056304504509,1,"25957","PNISR",99847841,99873207,25367
"chr8",87362653,87368021,5368,-0.00643747708476855,0.0128749541695371,548,88081,88082,2,19,0.0163467087388019,0.99,0.174223717092961,1,"11059","WWP1",87354994,87480178,125185
"chr3",134182665,134226577,43912,0.00373591220620985,0.0186795610310493,197,40176,40184,5,367,0.0342661690002006,0.997,0.0712493591347142,1,"25847","ANAPC13",134196546,134204865,8320
"chr3",134182665,134226577,43912,0.00373591220620985,0.0186795610310493,197,40176,40184,5,367,0.0342661690002006,0.997,0.0712493591347142,1,"80254","CEP63",134204575,134293855,89281
"chr20",123613,170472.5,46859.5,-0.00459783921748103,0.0183913568699241,1031,172557,172560,4,72,0.0216197606940912,0.997,0.0745063170122179,1,NA,NA,NA,NA,NA
"chr7",13579700,13788841,209141,-0.00455075916435503,0.0182030366574201,464,74492,74495,4,16,0.0230761038362753,0.997,0.0766090981818002,1,NA,NA,NA,NA,NA
"chr12",98503559,98648287,144728,-0.003247686166182,0.019486116997092,759,122750,122755,6,45,0.0339045599887059,0.998,0.0629695034811059,1,NA,NA,NA,NA,NA
"chr6",113198826,113371307,172481,-0.00318328005436742,0.0190996803262045,450,69061,69066,6,60,0.0358760721335675,0.998,0.0667812587461084,1,NA,NA,NA,NA,NA
"chr13",32487268,32545375,58107,-0.00309381610837277,0.0185628966502366,766,127388,127395,6,246,0.037966469432893,0.998,0.072591770670537,1,"196549","EEF1DP3",32420920,32533721,112802
"chr4",75565771,75672135,106364,-0.00308579077866797,0.0185147446720078,265,47357,47362,6,240,0.0381225061981271,0.998,0.0730970325770091,1,"685","BTC",75671448,75719882,48435
"chr19",7224613,7538084,313471,0.00356783333925183,0.0178391666962592,1005,165478,165508,5,143,0.0427243523855049,0.998,0.080720543107014,1,"23370","ARHGEF18",7447720,7537371,89652
"chr19",7224613,7538084,313471,0.00356783333925183,0.0178391666962592,1005,165478,165508,5,143,0.0427243523855049,0.998,0.080720543107014,1,"3643","INSR",7112266,7294011,181746
"chr4",9981202,10041724.5,60522.5,-0.00350545246134011,0.0175272623067005,223,45248,45256,5,70,0.0461819289611667,0.998,0.0845149609536571,1,NA,NA,NA,NA,NA
