"chr","start","end","width","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","gene_id","gene_symbol","gene_start","gene_end","gene_width","DMB_Overlap"
"chr6",29648161,29649807,1646,-0.016294328835031,0.391063892040743,115698,137381,137404,24,24,7.24185410522605e-05,0.076,0.00044689862833566,0.404,NA,NA,NA,NA,NA,"No"
"chr7",27182493,27184065,1572,0.00912258100871338,0.228064525217835,124092,168492,168516,25,51,0.00011529794035952,0.108,0.00161702979165376,0.867,"100133311","HOXA-AS3",27179983,27195547,15565,"No"
"chr7",27182493,27184065,1572,0.00912258100871338,0.228064525217835,124092,168492,168516,25,51,0.00011529794035952,0.108,0.00161702979165376,0.867,"3202","HOXA5",27180671,27183287,2617,"No"
"chr6",291687,293285,1598,-0.0277995468556357,0.277995468556357,113626,131097,131106,10,11,0.000158177339666779,0.156,0.00100051931716939,0.707,"56940","DUSP22",292101,351355,59255,"No"
"chr3",35681627,35681883,256,-0.0652013407123031,0.130402681424606,91697,74350,74351,2,9,0.000429746868612756,0.372,0.0053656421666484,0.995,"10777","ARPP21",35680666,35835988,155323,"Yes"
"chr6",36515676,36515856,180,0.0647640884718535,0.129528176943707,116509,147069,147070,2,8,0.000437369872934047,0.376,0.00544473083648179,0.995,NA,NA,NA,NA,NA,"No"
"chr6",41514670,41515050,380,0.0471207993987539,0.0942415987975078,116910,148021,148022,2,12,0.000978603179745678,0.634,0.0114897732632652,1,NA,NA,NA,NA,NA,"No"
"chr6",33047944,33048879,935,0.00841516990260451,0.159888228149486,116125,144442,144460,19,27,0.00130448661448085,0.805,0.00340176567837592,0.982,NA,NA,NA,NA,NA,"No"
"chr21",40759534,40759694,160,-0.0180214015687058,0.090107007843529,87248,397990,397994,5,8,0.00161988841827425,0.811,0.0126837263150874,1,"7485","GET1",40752213,40786214,34002,"No"
"chr5",135415190,135416613,1423,-0.00968404130682317,0.164628702215994,110610,122881,122897,17,19,0.00133307288068569,0.82,0.00320642619264285,0.981,"100126299","VTRNA2-1",135416187,135416286,100,"No"
"chr8",1364632,1365749,1117,-0.0168868467220216,0.118207927054151,130891,187395,187401,7,11,0.00155890438370392,0.82,0.00673778294448071,0.999,NA,NA,NA,NA,NA,"No"
"chr8",599525,600555,1030,-0.0167686951085486,0.11738086575984,130709,186778,186784,7,8,0.00160750103625215,0.828,0.00686165676470168,0.999,NA,NA,NA,NA,NA,"No"
"chr6",32063774,32064258,484,-0.00900128656241966,0.153021871561134,116006,142653,142669,17,73,0.00144646506996489,0.849,0.00374098937067335,0.987,NA,NA,NA,NA,NA,"No"
"chr16",776918,777273,355,-0.0203509497306353,0.061052849191906,51480,317874,317876,3,22,0.00198293399907571,0.86,0.0287920873215145,1,"84264","HAGHL",776958,779715,2758,"No"
"chr12",108078821,108079287,466,-0.016017422648437,0.0640696905937479,35446,273319,273322,4,12,0.00352278087197641,0.954,0.0262488625048239,1,NA,NA,NA,NA,NA,"No"
"chr15",91473059,91473569,510,0.0129359277598207,0.116423349838386,50650,315380,315388,9,21,0.0030129924579901,0.958,0.00700363522018572,0.999,"55898","UNC45A",91473410,91497323,23914,"No"
"chr1",91194674,91194708,34,0.0266158052058462,0.0532316104116925,7135,21189,21190,2,11,0.00351706361873544,0.971,0.0372764911311109,1,NA,NA,NA,NA,NA,"No"
"chr17",48585216,48585470,254,0.0171151511393195,0.0513454534179586,61601,350025,350027,3,11,0.00420503975873191,0.975,0.0399016632442553,1,NA,NA,NA,NA,NA,"No"
"chr6",29520698,29521162,464,0.00812974746698578,0.0975569696038293,115674,137056,137067,12,39,0.00362569143031383,0.982,0.0106426669080618,1,NA,NA,NA,NA,NA,"No"
"chr2",45397802,45398036,234,0.0164356457351712,0.0493069372055137,74992,47648,47650,3,10,0.00502641847435097,0.986,0.042959440852633,1,NA,NA,NA,NA,NA,"No"
"chr6",127796683,127797286,603,-0.0143350568873039,0.0716752844365195,119707,155204,155208,5,7,0.00433272508111353,0.987,0.0208498696942699,1,"387104","SOGA3",127759551,127840500,80950,"No"
"chr5",179248352,179248748,396,-0.0244202799273838,0.0488405598547675,113423,130458,130459,2,7,0.00433653658327418,0.988,0.0437207884092219,1,NA,NA,NA,NA,NA,"No"
"chr20",30134929,30135362,433,0.00997625212468163,0.0997625212468163,84981,390053,390062,10,11,0.0047005350396158,0.992,0.01010048072571,1,"100101490","MCTS2P",30135185,30136019,835,"No"
"chr20",30134929,30135362,433,0.00997625212468163,0.0997625212468163,84981,390053,390062,10,11,0.0047005350396158,0.992,0.01010048072571,1,"81502","HM13",30102241,30157370,55130,"No"
"chr10",64134155,64134403,248,0.0157872799627476,0.0473618398882428,17227,220536,220538,3,12,0.00594784912168697,0.992,0.0461553854143341,1,"22891","ZNF365",64018916,64431771,412856,"No"
"chr22",51016501,51017019,518,0.00958695207869378,0.0958695207869378,90144,407136,407145,10,16,0.00515696242335307,0.994,0.0110686022745139,1,"1375","CPT1B",51007290,51017096,9807,"No"
"chr22",51016501,51017019,518,0.00958695207869378,0.0958695207869378,90144,407136,407145,10,16,0.00515696242335307,0.994,0.0110686022745139,1,"386593","CHKB-CPT1B",51007290,51021428,14139,"No"
"chr2",3642400,3642867,467,0.0110900330108472,0.0887202640867775,72685,42032,42039,8,13,0.00592974448642391,0.994,0.0131563525830074,1,"78989","COLEC11",3642422,3692234,49813,"No"
"chr16",53407013,53407808,795,-0.0108922258678469,0.0871378069427751,54336,326898,326905,8,10,0.00624895779237795,0.995,0.013673764001315,1,NA,NA,NA,NA,NA,"No"
"chr6",164506861,164507305,444,-0.0122650015792068,0.0735900094752407,121626,159598,159603,6,10,0.00619178525996827,0.995,0.0197759789605081,1,NA,NA,NA,NA,NA,"No"
"chr1",202172535,202172912,377,0.0134479964253732,0.0672399821268658,11411,33358,33362,5,8,0.00570296010786551,0.996,0.0238190298774126,1,"59352","LGR6",202163118,202288889,125772,"No"
"chr12",133000383,133000830,447,-0.013918659788283,0.0556746391531322,37605,280006,280009,4,8,0.00659104011129586,0.997,0.0342596871709602,1,NA,NA,NA,NA,NA,"No"
