Probe_ID,SampleVar,LogVarRatio,DiffLevene,t,P.Value,Adj.P.Value,Bonferroni,chr,pos,strand,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,Phantom,DMR,Enhancer,HMM_Island,Regulatory_Feature_Name,Regulatory_Feature_Group,DHS,Probe_SNPs,Probe_SNPs_10,Islands_Name,Relation_to_Island
cg15383120,1.330164389,-4.12213499,-1.112349859,-7.163245031,1.66E-11,3.69E-06,6.64E-06,chr6,291909,-,DUSP22,NM_020185,TSS200,,,,6:236882-237965,6:291596-292679,Promoter_Associated,,,,chr6:291948-292839,N_Shore
cg18110333,2.036199248,-4.727680607,-1.405843459,-7.146050072,1.83E-11,3.69E-06,7.33E-06,chr6,292329,+,DUSP22;DUSP22,NM_020185;NM_020185,1stExon;5'UTR,high-CpG:237033-237532,,,6:236882-237965,6:291596-292679,Promoter_Associated,,rs12525419,,chr6:291948-292839,Island
cg21548813,1.689358042,-4.057468175,-1.250157956,-6.950024185,5.61E-11,5.87E-06,2.24E-05,chr6,291882,-,DUSP22,NM_020185,TSS1500,,,,6:236882-237965,6:291596-292679,Promoter_Associated,,,,chr6:291948-292839,N_Shore
cg05064044,0.697418833,-3.535924957,-0.788875885,-6.9339118,6.14E-11,5.87E-06,2.45E-05,chr6,292385,+,DUSP22;DUSP22,NM_020185;NM_020185,1stExon;5'UTR,high-CpG:237033-237532,,,6:236882-237965,6:291596-292679,Promoter_Associated,,,,chr6:291948-292839,Island
cg03395511,1.361434894,-3.842005149,-1.100886476,-6.903427193,7.30E-11,5.87E-06,2.92E-05,chr6,291903,-,DUSP22,NM_020185,TSS200,,,,6:236882-237965,6:291596-292679,Promoter_Associated,,,,chr6:291948-292839,N_Shore
cg26668828,1.968618604,-3.907811747,-1.307909658,-6.762890399,1.60E-10,1.08E-05,6.41E-05,chr6,292823,+,DUSP22,NM_020185,Body,,,,6:236882-237965,6:292711-293164,Promoter_Associated,,rs815596,,chr6:291948-292839,Island
cg01516881,0.728699396,-4.144461269,-0.761796018,-6.706951214,2.19E-10,1.26E-05,8.74E-05,chr6,292596,-,DUSP22,NM_020185,Body,,,,6:236882-237965,6:291596-292679,Promoter_Associated,,,,chr6:291948-292839,Island
cg11235426,0.890381231,-3.095889945,-0.842458339,-6.420042485,1.05E-09,5.29E-05,0.000420334,chr6,292522,+,DUSP22;DUSP22,NM_020185;NM_020185,1stExon;5'UTR,high-CpG:237033-237532,,,6:236882-237965,6:291596-292679,Promoter_Associated,,,,chr6:291948-292839,Island
cg07332563,1.314135553,-3.275951073,-1.000483608,-6.155182697,4.32E-09,0.000193269,0.001726336,chr6,291687,-,DUSP22,NM_020185,TSS1500,,,,,6:291596-292679,Promoter_Associated,,,,chr6:291948-292839,N_Shore
cg01171360,0.337001504,-2.414122626,-0.433878349,-5.10507568,7.96E-07,0.032036484,0.317954548,chr6,293285,+,DUSP22,NM_020185,Body,,,,6:238210-238332,,,,rs7767281,rs72838722,chr6:291948-292839,S_Shore
cg15006561,0.02642173,1.794838026,0.121590968,4.865946919,2.38E-06,0.08697654,0.949543799,chr1,145096321,+,SEC22B,NM_004892,TSS200,,,,,1:145096038-145097369,Unclassified,,,rs80320818,chr1:145096393-145096784,N_Shore
cg13619387,0.162966426,1.713889814,0.285693228,4.824705344,2.86E-06,0.095924566,1,chr9,92050313,-,SEMA4D;SEMA4D,NM_001142287;NM_006378,5'UTR;5'UTR,,,TRUE,,,,,,,,OpenSea
cg24399712,0.631106792,1.557080058,0.609860531,4.770493144,6.05E-06,0.187329887,1,chr22,39784796,-,,,,,DMR,,22:38114304-38115050,22:39784740-39785114,Promoter_Associated,,,,chr22:39784354-39785104,Island
cg01156108,0.421103008,-1.780177055,-0.436935633,-4.559060323,9.16E-06,0.263344823,1,chr17,48133078,+,ITGA3;ITGA3,NM_005501;NM_002204,TSS1500;TSS1500,,,,17:45487919-45489498,17:48133037-48134140,Unclassified,,rs3834596,,chr17:48132994-48134084,Island
cg10010393,0.211348824,1.169601993,0.320372371,4.501507867,1.17E-05,0.286146161,1,chr21,43198627,-,,,,,,TRUE,21:42071278-42071776,21:43198419-43199328,Unclassified,,,,chr21:43198413-43198715,Island
cg10340048,0.091009221,1.273239126,0.21276037,4.494559502,1.21E-05,0.286146161,1,chr8,74258684,+,,,,,,TRUE,,,,TRUE,,,,OpenSea
cg16274221,0.294341738,1.279260395,0.384077844,4.487372115,1.24E-05,0.286146161,1,chr1,248568187,-,OR2T1,NM_030904,TSS1500,,,,,,,,,,,OpenSea
cg05872129,0.397855112,1.485364248,0.431461869,4.484265474,1.28E-05,0.286146161,1,chr22,39784769,-,,,,,,,22:38114304-38115050,22:39784740-39785114,Promoter_Associated,,,,chr22:39784354-39785104,Island
cg02309882,0.058183549,1.296960156,0.166243278,4.44334793,1.50E-05,0.317399347,1,chr5,85940883,+,,,,,,TRUE,,,,,,,,OpenSea
cg06761921,0.096416408,1.176790575,0.209013049,4.380385252,1.95E-05,0.392577032,1,chr18,35145535,+,BRUNOL4;BRUNOL4;BRUNOL4;BRUNOL4,NM_001025087;NM_001025089;NM_020180;NM_001025088,1stExon;1stExon;1stExon;1stExon,,DMR,,18:33398906-33399558,,,,,,chr18:35144907-35147628,Island
cg17600393,0.070246909,-1.745393721,-0.177564955,-4.358180365,2.14E-05,0.393856946,1,chr2,1051107,+,SNTG2,NM_018968,Body,,RDMR,,,,,TRUE,,,chr2:1052315-1052730,N_Shore
cg14566696,0.233041806,1.614663909,0.300733385,4.356695188,2.15E-05,0.393856946,1,chr6,31367849,+,,,,,,,6:31475456-31476065,6:31367352-31368077,Promoter_Associated,,rs2523454,,chr6:31367476-31367916,Island
cg08264835,0.248734553,-1.3840129,-0.337073248,-4.259464999,3.21E-05,0.557420087,1,chr1,20716191,+,,,,,,TRUE,,,,,rs74056547,,,OpenSea
cg23343973,0.076385502,-1.402423905,-0.178815984,-4.251149444,3.32E-05,0.557420087,1,chr6,30710764,+,FLOT1,NM_005803,TSS1500,,,,6:30818064-30818932,6:30710361-30712511,Promoter_Associated,,,,chr6:30710307-30712440,Island
cg21664828,0.052483856,1.272567684,0.148951381,4.238093706,3.51E-05,0.560370932,1,chr3,125094611,-,ZNF148,NM_021964,TSS1500,,,,,,,,,,chr3:125093668-125094365,S_Shore
cg19787424,0.021360698,-1.616432854,-0.097852721,-4.230188262,3.62E-05,0.560370932,1,chr10,73648638,+,,,,,,TRUE,10:73318433-73318962,10:73648345-73649096,Promoter_Associated,,rs61564320,,chr10:73648628-73648956,Island
cg08661751,0.139434362,-1.769511665,-0.236173564,-4.143420292,5.16E-05,0.717629743,1,chr5,142001770,+,FGF1;FGF1;FGF1;FGF1;FGF1;FGF1;FGF1,NM_000800;NM_033136;NM_001144935;NM_001144934;NR_026696;NR_026695;NM_001144892,5'UTR;5'UTR;5'UTR;5'UTR;Body;Body;TSS1500,,,TRUE,,,,,,,,OpenSea
cg19783291,0.041097231,1.231728446,0.131309695,4.140467475,5.20E-05,0.717629743,1,chr7,101835912,-,CUX1;CUX1;CUX1,NM_181500;NM_181552;NM_001913,Body;Body;Body,,,,,,,,,,chr7:101838731-101839597,N_Shelf
cg05608612,0.23832484,1.257922949,0.311528309,4.135437716,5.30E-05,0.717629743,1,chr2,3621757,+,RPS7,NM_001011,TSS1500,,,,,,,,,,chr2:3622654-3623704,N_Shore
cg08920068,0.189656804,1.344050239,0.287093308,4.127568585,5.47E-05,0.717629743,1,chr5,121414076,-,LOX,NM_002317,TSS200,,,TRUE,5:121440453-121442184,,,TRUE,,,chr5:121412500-121414077,Island
cg05010058,0.103768885,-1.711405328,-0.201340361,-4.124577095,5.54E-05,0.717629743,1,chr2,65284262,+,CEP68,NM_015147,5'UTR,,,,,,,,,rs79464520,chr2:65283030-65284169,S_Shore
cg12180067,0.050522817,1.085200715,0.145591127,4.117081028,5.71E-05,0.717629743,1,chr3,138160066,+,ESYT3,NM_031913,Body,,,TRUE,,,,,,,,OpenSea
cg18253101,0.18248198,1.325981566,0.269265429,4.077959135,6.66E-05,0.812746123,1,chr19,709325,+,PALM;PALM,NM_002579;NM_001040134,Body;Body,,,,19:659535-660990,,,TRUE,,,chr19:709129-709990,Island
cg07061913,0.048399311,0.853789501,0.139963011,4.050481291,7.43E-05,0.838787771,1,chr10,75006462,-,DNAJC9,NM_015190,Body,,,,,10:75006279-75007899,Promoter_Associated,,,,chr10:75006629-75007184,N_Shore
cg24363020,0.087753737,1.349451678,0.186072345,4.047447124,7.52E-05,0.838787771,1,chr3,72706849,+,,,,,,,,3:72706771-72707284,Unclassified_Cell_type_specific,,,,chr3:72704323-72704610,S_Shelf
cg27181148,0.15133793,-1.357121601,-0.244525629,-4.045023921,7.59E-05,0.838787771,1,chr12,45819307,+,ANO6;ANO6;ANO6;ANO6,NM_001142679;NM_001142678;NM_001142680;NM_001025356,Body;Body;Body;Body,,,TRUE,,,,,,,,OpenSea
cg27484878,0.106217508,-1.045667745,-0.201446857,-4.036038988,7.86E-05,0.838787771,1,chr8,13265200,+,DLC1;DLC1,NM_182643;NM_024767,Body;Body,,,TRUE,,,,,,,,OpenSea
cg07616499,0.246385193,1.614227124,0.320411724,4.062667915,7.92E-05,0.838787771,1,chr10,30324789,-,KIAA1462,NM_020848,Body,,,TRUE,,,,,,rs34138480,,OpenSea
cg13860527,0.161122655,1.363823354,0.249311159,4.026248717,8.17E-05,0.842904712,1,chr1,160068519,+,IGSF8,NM_052868,TSS200,high-CpG:158334901-158335384,,,1:158334683-158335614,1:160068340-160069011,Promoter_Associated,,,,chr1:160068040-160068430,S_Shore
cg14833283,0.110551198,-1.651043199,-0.204235136,-4.013771949,8.58E-05,0.848746542,1,chr7,1327102,-,,,,,,,,,,,,,chr7:1328525-1329029,N_Shore
cg19642408,0.164665536,-1.217488105,-0.259710606,-4.011696033,8.65E-05,0.848746542,1,chr2,9894335,+,,,,,,TRUE,2:9811614-9812055,,,,,,,OpenSea
cg17267676,0.023697101,1.089864025,0.09588157,3.991189979,9.37E-05,0.851453873,1,chr19,1194783,-,,,,,,,19:1145498-1145851,19:1194368-1194908,Unclassified,,,,chr19:1194461-1194863,Island
cg15873959,0.068303633,1.116097732,0.161754461,3.981503194,9.73E-05,0.851453873,1,chr20,62694841,+,TCEA2;TCEA2,NM_003195;NM_198723,Body;5'UTR,,,,20:62164415-62165690,20:62694020-62695720,Promoter_Associated,,,,chr20:62693942-62695282,Island
